DimCardID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,AgeGroup
1916,503807136943,flazz,Talia Wibisono,M,1974,Middle Age (36-55)
1917,630454785548,flazz,Ilsa Sihombing,F,1988,Middle Age (36-55)
1918,3549578116411726,dki,Febi Purnawati,M,1977,Middle Age (36-55)
1919,675932367328,flazz,Latika Putra,M,2009,Youth (<18)
1920,2703757390463181,dki,Hendra Setiawan,F,1989,Middle Age (36-55)
1921,30593509145411,bni,Winda Prakasa,M,2008,Youth (<18)
1922,213168845752375,emoney,"Ir. Among Kusmawati, S.I.Kom",F,2011,Youth (<18)
1923,213185930985355,emoney,Vero Lazuardi,F,2005,Young Adult (18-35)
1924,4546294741571329,dki,"Nurul Yuniar, S.Farm",F,1986,Middle Age (36-55)
1925,4737593549053335511,brizzi,Eko Sitorus,F,1986,Middle Age (36-55)
1926,3507513911706871,dki,Lembah Mahendra,F,1985,Middle Age (36-55)
1927,30221154237750,bni,Yance Najmudin,M,1972,Middle Age (36-55)
1928,4037165393282561,dki,Paramita Hutasoit,M,1992,Young Adult (18-35)
1929,4624666085850,online,"Sutan Mariadi Iswahyudi, M.Farm",F,2001,Young Adult (18-35)
1930,4218215123652368,dki,Anita Suwarno,F,2008,Youth (<18)
1931,4540584094473719,dki,Dono Hassanah,F,1998,Young Adult (18-35)
1932,4819796215807732,dki,Edward Marbun,M,2006,Young Adult (18-35)
1933,3525629853587026,dki,Edi Nababan,F,1982,Middle Age (36-55)
1934,639004691130,flazz,Kiandra Mahendra,F,1988,Middle Age (36-55)
1935,4525742517555640,dki,"Dr. Asman Wijayanti, S.T.",F,1986,Middle Age (36-55)
1936,3548278373138358,dki,"Dt. Anggabaya Firgantoro, S.Ked",M,2010,Youth (<18)
1937,2246694604413625,dki,Maryanto Suwarno,M,1979,Middle Age (36-55)
1938,4967875440776720,dki,Drs. Latika Siregar,F,2000,Young Adult (18-35)
1939,6573111469645716,dki,"Hasan Permadi, M.Kom.",M,1989,Middle Age (36-55)
1940,4455446048765487924,brizzi,Dr. Putri Manullang,F,1991,Young Adult (18-35)
1941,6514782861509981,dki,Liman Najmudin,F,2005,Young Adult (18-35)
1942,213135670648531,emoney,Vanya Situmorang,M,2007,Young Adult (18-35)
1943,213143904465656,emoney,"Cut Sabrina Hardiansyah, M.Ak",F,1986,Middle Age (36-55)
1944,6506380177280197,dki,"Usman Rajata, M.TI.",F,2003,Young Adult (18-35)
1945,347705479268282,emoney,"Sutan Ihsan Wibowo, M.Farm",M,1960,Senior (>55)
1946,348542928704016,emoney,Lega Nugroho,F,1993,Young Adult (18-35)
1947,6011538280477749,dki,Calista Usada,F,1975,Middle Age (36-55)
1948,4857270284626573192,brizzi,Kania Saputra,F,2003,Young Adult (18-35)
1949,6011771860944255,dki,Setya Haryanti,F,1983,Middle Age (36-55)
1950,4467904117741,online,"Drs. Unjani Rahimah, S.Psi",F,1976,Middle Age (36-55)
1951,6011865001591205,dki,Cinta Anggriawan,F,1966,Senior (>55)
1952,180051935960455,emoney,Utama Hastuti,M,1965,Senior (>55)
1953,4953622109257725,dki,Cut Tina Nasyidah,M,1990,Young Adult (18-35)
1954,4433833637068,online,Darijan Irawan,F,1981,Middle Age (36-55)
1955,4712163512480853,dki,Jayadi Narpati,F,1990,Young Adult (18-35)
1956,6011081330797535,dki,Dr. Adhiarja Suwarno,F,1995,Young Adult (18-35)
1957,676254067561,flazz,Citra Zulaika,F,2003,Young Adult (18-35)
1958,6501019943577115,dki,Icha Wacana,F,1981,Middle Age (36-55)
1959,4910134298479158227,brizzi,Ghaliyati Wahyudin,F,1996,Young Adult (18-35)
1960,4008975881719352,dki,"Cut Najwa Laksita, S.Farm",F,1993,Young Adult (18-35)
1961,4687627132980949,dki,Yulia Wastuti,F,1994,Young Adult (18-35)
1962,3514149956482705,dki,Endra Saptono,M,1988,Middle Age (36-55)
1963,639016911872,flazz,Gading Latupono,M,1969,Senior (>55)
1964,6011848215383098,dki,Prabowo Sitorus,F,1985,Middle Age (36-55)
1965,4656008189902542008,brizzi,"R. Widya Pertiwi, S.E.",M,1949,Senior (>55)
1966,4098286276497732,dki,Karman Safitri,M,1989,Middle Age (36-55)
1967,6011421749811826,dki,Kania Budiman,M,1979,Middle Age (36-55)
1968,3508990055201613,dki,Dasa Melani,M,1947,Senior (>55)
1969,6011594584845438,dki,Bahuraksa Anggraini,M,1986,Middle Age (36-55)
1970,348749897528603,emoney,R. Kayla Marpaung,M,1967,Senior (>55)
1971,3562902217183616,dki,Halima Haryanti,F,1989,Middle Age (36-55)
1972,3598284776243380,dki,Damu Putra,F,1987,Middle Age (36-55)
1973,3519891486547532,dki,dr. Maimunah Astuti,F,2010,Youth (<18)
1974,6513740544914565,dki,Budi Laksmiwati,M,1970,Middle Age (36-55)
1975,4235638078949506,dki,"drg. Hamzah Saefullah, S.Farm",M,1959,Senior (>55)
1976,38973896401910,bni,"Ihsan Padmasari, S.Farm",F,1973,Middle Age (36-55)
1977,38789645770607,bni,"Tgk. Ina Farida, S.E.",F,1997,Young Adult (18-35)
1978,60405037726,flazz,"Unggul Rahmawati, S.Kom",F,1982,Middle Age (36-55)
1979,582862179162,flazz,Hj. Tiara Lazuardi,M,1952,Senior (>55)
1980,4320968756365337,dki,Bakti Nurdiyanti,M,1972,Middle Age (36-55)
1981,4847513082952631347,brizzi,Oni Rajata,M,1975,Middle Age (36-55)
1982,4493387305448893,dki,Vanesa Latupono,M,1997,Young Adult (18-35)
1983,3522374068693276,dki,"Ir. Pangeran Hariyah, S.E.I",M,1994,Young Adult (18-35)
1984,3536660035194883,dki,Makuta Habibi,F,1982,Middle Age (36-55)
1985,4768452816778,online,Ani Maheswara,M,2012,Youth (<18)
1986,2372143944984057,dki,Ir. Eli Prayoga,F,2001,Young Adult (18-35)
1987,6011949500348877,dki,R.A. Paramita Maryadi,M,1968,Senior (>55)
1988,4927404445369412985,brizzi,Carla Maheswara,F,2005,Young Adult (18-35)
1989,345924735670817,emoney,"Rahmat Dabukke, S.Gz",F,1989,Middle Age (36-55)
1990,4269556579982759522,brizzi,Winda Namaga,M,1981,Middle Age (36-55)
1991,503829685653,flazz,Sabrina Nainggolan,M,1968,Senior (>55)
1992,3597080651059953,dki,Nurul Wasita,M,2006,Young Adult (18-35)
1993,3589927679511094,dki,Jarwi Agustina,M,1969,Senior (>55)
1994,213161931113768,emoney,Muhammad Marpaung,F,1982,Middle Age (36-55)
1995,501898129801,flazz,Ani Adriansyah,M,1992,Young Adult (18-35)
1996,6011582570963588,dki,Drs. Paulin Hutasoit,M,1969,Senior (>55)
1997,3518067894820651,dki,Mila Prabowo,F,1989,Middle Age (36-55)
1998,585239496904,flazz,Latif Wasita,F,1989,Middle Age (36-55)
1999,3506556941857157,dki,Gambira Sitorus,F,1994,Young Adult (18-35)
2000,4583880746854860,dki,Garan Lazuardi,M,1989,Middle Age (36-55)
2001,4016462304337068554,brizzi,Alika Permadi,M,1979,Middle Age (36-55)
2002,38416324104722,bni,"Drs. Lurhur Saptono, S.Psi",M,1983,Middle Age (36-55)
2003,30030932680847,bni,Drs. Vanya Rajata,M,2012,Youth (<18)
2004,5356161499261138,dki,Daruna Mayasari,M,1946,Senior (>55)
2005,346014641879063,emoney,drg. Tedi Suryatmi,M,2001,Young Adult (18-35)
2006,38336450731819,bni,Dt. Emin Najmudin,M,1996,Young Adult (18-35)
2007,4839733087695944379,brizzi,"H. Anom Utama, S.Farm",F,1989,Middle Age (36-55)
2008,5209338515902494,dki,Samiah Mansur,F,1999,Young Adult (18-35)
2009,4861531755781485,dki,Ifa Maulana,M,1988,Middle Age (36-55)
2010,213146437828860,emoney,"Dt. Praba Gunawan, S.Kom",F,2007,Young Adult (18-35)
2011,30042493938969,bni,Dewi Hidayanto,M,1994,Young Adult (18-35)
2012,3537117576420929,dki,Makuta Situmorang,M,2008,Youth (<18)
2013,676117994100,flazz,Kiandra Wijaya,F,1990,Young Adult (18-35)
2014,3502741292108392,dki,Maida Saragih,M,1987,Middle Age (36-55)
2015,4241664479635215,dki,Bagas Waskita,M,2000,Young Adult (18-35)
2016,213171585014766,emoney,R. Bagas Santoso,F,2005,Young Adult (18-35)
2017,3548034587171226,dki,"T. Warsita Hardiansyah, S.I.Kom",F,1983,Middle Age (36-55)
2018,2644514606207692,dki,R. Rini Permata,F,1989,Middle Age (36-55)
2019,213165823916790,emoney,Arta Pertiwi,M,1986,Middle Age (36-55)
2020,30053064444345,bni,"Zahra Pangestu, M.Kom.",F,1988,Middle Age (36-55)
2021,2222398700300896,dki,Karman Puspita,F,2001,Young Adult (18-35)
2022,6527187239000892,dki,Maya Yulianti,F,2011,Youth (<18)
2023,4482073553741295,dki,"R. Puji Waluyo, S.Gz",M,2012,Youth (<18)
2024,2224124718981701,dki,Yuni Rahimah,M,1984,Middle Age (36-55)
2025,4753445785766658,dki,Eluh Prastuti,M,1972,Middle Age (36-55)
2026,2227538468792751,dki,"dr. Bahuwirya Wibisono, S.Psi",F,2009,Youth (<18)
2027,4107813063350,online,"Jono Andriani, S.IP",F,1969,Senior (>55)
2028,4893843563122139,dki,"Yoga Firmansyah, S.I.Kom",F,1987,Middle Age (36-55)
2029,4073008156159464788,brizzi,Bakidin Dongoran,M,1985,Middle Age (36-55)
2030,4229220705617406,dki,Catur Pertiwi,F,1997,Young Adult (18-35)
2031,4697107913692235,dki,R.A. Farah Susanti,M,1983,Middle Age (36-55)
2032,4039790732534071,dki,dr. Rini Wijaya,F,2001,Young Adult (18-35)
2033,4693202860027,online,"H. Lasmanto Halim, S.Gz",M,1985,Middle Age (36-55)
2034,30598655906037,bni,Zalindra Prasetyo,M,1969,Senior (>55)
2035,3570374071394335,dki,Puspa Kusumo,F,1987,Middle Age (36-55)
2036,4148637586167128,dki,"Pardi Kusmawati, S.Psi",M,1985,Middle Age (36-55)
2037,180078688457611,emoney,Estiawan Hassanah,F,2005,Young Adult (18-35)
2038,3505271133373671,dki,Lala Utama,F,1969,Senior (>55)
2039,3574087196385287,dki,Ir. Tina Jailani,M,1994,Young Adult (18-35)
2040,36670197482423,bni,Bella Najmudin,F,1994,Young Adult (18-35)
2041,6576846774992868,dki,"Hesti Kusumo, S.Sos",F,1970,Middle Age (36-55)
2042,4074659162250,online,Cager Pradana,M,1984,Middle Age (36-55)
2043,4337460361652391,dki,R.A. Zalindra Haryanto,M,1984,Middle Age (36-55)
2044,374183393092731,emoney,Jelita Uyainah,M,1969,Senior (>55)
2045,213135410542457,emoney,Bagas Saptono,F,1968,Senior (>55)
2046,4810242804247135834,brizzi,Hj. Elvina Sihombing,M,2003,Young Adult (18-35)
2047,30505037365188,bni,Unjani Safitri,F,1995,Young Adult (18-35)
2048,6507952481615042,dki,Umaya Sitompul,M,1989,Middle Age (36-55)
2049,501852263760,flazz,Siti Zulaika,F,2012,Youth (<18)
2050,4616940730252355,dki,Kamaria Marpaung,F,1988,Middle Age (36-55)
2051,4897519282826277,dki,Narji Mardhiyah,M,1979,Middle Age (36-55)
2052,3516747754326186,dki,drg. Ika Maryati,F,1993,Young Adult (18-35)
2053,180046400156415,emoney,Halim Handayani,F,2006,Young Adult (18-35)
2054,4075313478023954,dki,Azalea Haryanti,F,1985,Middle Age (36-55)
2055,571756438909,flazz,Niyaga Lestari,M,1977,Middle Age (36-55)
2056,3587022484626717,dki,Laras Sirait,F,1992,Young Adult (18-35)
2057,4100816838167,online,H. Mahesa Pranowo,F,1999,Young Adult (18-35)
2058,373103014282488,emoney,"Ir. Tina Suryatmi, M.TI.",F,1986,Middle Age (36-55)
2059,3512015968353022,dki,Ganep Hutasoit,F,1997,Young Adult (18-35)
2060,3517309720551204,dki,Kania Nurdiyanti,M,2012,Youth (<18)
2061,2288550644012083,dki,Nova Rajasa,F,2008,Youth (<18)
2062,3550191020779521,dki,"T. Kajen Novitasari, S.H.",M,1989,Middle Age (36-55)
2063,503855128503,flazz,Ani Uyainah,F,1987,Middle Age (36-55)
2064,213166909737845,emoney,Drs. Tedi Wijaya,M,2008,Youth (<18)
2065,3564097767658436,dki,Nasab Mayasari,F,2004,Young Adult (18-35)
2066,6581416314496664,dki,"drg. Labuh Budiman, S.Ked",M,1984,Middle Age (36-55)
2067,349268003619767,emoney,"Dr. Tiara Habibi, S.E.I",F,1986,Middle Age (36-55)
2068,4345833223450636,dki,Jaiman Dongoran,F,1989,Middle Age (36-55)
2069,4442319267109702,dki,Rika Sitompul,M,1996,Young Adult (18-35)
2070,30017226632899,bni,Rachel Widodo,F,2003,Young Adult (18-35)
2071,3592781798387182,dki,Cagak Yolanda,F,2000,Young Adult (18-35)
2072,4292653178043225,dki,drg. Jamalia Irawan,F,2003,Young Adult (18-35)
2073,2241108210743809,dki,"Utama Yolanda, M.Pd",F,1983,Middle Age (36-55)
2074,2705547033175302,dki,Saiful Jailani,M,1998,Young Adult (18-35)
2075,6011294089443520,dki,Hani Saptono,M,1977,Middle Age (36-55)
2076,3557884787059003,dki,"Drs. Hasim Wacana, S.H.",M,2000,Young Adult (18-35)
2077,4122003732631,online,Eli Saefullah,F,2005,Young Adult (18-35)
2078,213174612588414,emoney,Nadine Wasita,F,2009,Youth (<18)
2079,213193357911110,emoney,Chelsea Utami,M,1996,Young Adult (18-35)
2080,374491750606542,emoney,"Rendy Mandasari, S.Farm",F,2006,Young Adult (18-35)
2081,4540744207235476,dki,"Ihsan Haryanto, M.Pd",M,1989,Middle Age (36-55)
2082,4148073952598644406,brizzi,"Kani Kusmawati, S.Pt",F,2000,Young Adult (18-35)
2083,4110648047386545091,brizzi,"Dt. Banawa Dongoran, S.Gz",F,2011,Youth (<18)
2084,3544381608443132,dki,Luluh Anggraini,M,1966,Senior (>55)
2085,371499670866925,emoney,"Maras Budiman, S.Sos",F,1977,Middle Age (36-55)
2086,3512711087613664,dki,Raisa Wulandari,M,1946,Senior (>55)
2087,503845342842,flazz,"Dr. Ayu Hidayanto, M.TI.",F,2010,Youth (<18)
2088,213108380065346,emoney,Shakila Prastuti,F,1985,Middle Age (36-55)
2089,347221474496415,emoney,Putu Latupono,F,1972,Middle Age (36-55)
2090,180094001465025,emoney,"Johan Laksmiwati, M.Kom.",M,2012,Youth (<18)
2091,3597881717406355,dki,Diah Sitompul,F,1985,Middle Age (36-55)
2092,4109848151780941,dki,Ir. Nrima Pertiwi,M,1986,Middle Age (36-55)
2093,4192354470202947,dki,"Ir. Prabawa Gunarto, S.Psi",F,2008,Youth (<18)
2094,4831390324425778,dki,Jail Mulyani,F,2001,Young Adult (18-35)
2095,371977146534797,emoney,Dartono Rajata,F,1989,Middle Age (36-55)
2096,4505455915968661,dki,"Wisnu Prastuti, M.M.",F,1994,Young Adult (18-35)
2097,3569390488751126,dki,Yusuf Simbolon,F,1989,Middle Age (36-55)
2098,3513712847678962,dki,Keisha Sudiati,F,2007,Young Adult (18-35)
2099,4213958315769,online,"Ir. Mustofa Kurniawan, M.Pd",M,1983,Middle Age (36-55)
2100,4872015789630985439,brizzi,"Violet Permadi, M.Kom.",F,2008,Youth (<18)
2101,4971425348693,online,Nilam Mardhiyah,M,1993,Young Adult (18-35)
2102,2671309303198732,dki,Puti Maria Winarno,M,2012,Youth (<18)
2103,3521188198979343,dki,Dalima Pudjiastuti,F,2008,Youth (<18)
2104,30569761076023,bni,Eka Sihotang,M,1959,Senior (>55)
2105,4250953007710,online,"Eka Anggriawan, S.Kom",F,1999,Young Adult (18-35)
2106,3534387110145711,dki,Sutan Luwar Hasanah,M,1986,Middle Age (36-55)
2107,2285874282429695,dki,Rendy Pertiwi,M,1972,Middle Age (36-55)
2108,5107067804018315,dki,Tgk. Rahayu Setiawan,F,1983,Middle Age (36-55)
2109,6535168920212418,dki,Catur Maryati,F,2010,Youth (<18)
2110,213197546414761,emoney,Lala Sirait,M,1989,Middle Age (36-55)
2111,348606212253129,emoney,H. Gatot Yuliarti,F,1983,Middle Age (36-55)
2112,6509137647419855,dki,Rika Mangunsong,M,1974,Middle Age (36-55)
2113,38423726870066,bni,Arsipatra Simanjuntak,M,2003,Young Adult (18-35)
2114,180001693840589,emoney,"R. Vino Oktaviani, S.IP",M,1991,Young Adult (18-35)
2115,30535729584309,bni,Dr. Wani Rahmawati,F,1998,Young Adult (18-35)
2116,639054913566,flazz,Ade Lazuardi,F,1999,Young Adult (18-35)
2117,347220759203611,emoney,drg. Eka Winarsih,M,1982,Middle Age (36-55)
2118,4727169137522,online,"Saadat Nuraini, S.Farm",M,1995,Young Adult (18-35)
2119,4282961302809,online,Zalindra Tarihoran,F,1995,Young Adult (18-35)
2120,4409754633107728,dki,Lintang Rahimah,F,2009,Youth (<18)
2121,375622079045736,emoney,R.M. Gadang Siregar,M,2009,Youth (<18)
2122,5551623794113267,dki,"Syahrini Wibowo, S.Pt",F,1983,Middle Age (36-55)
2123,349273765720340,emoney,"drg. Humaira Novitasari, M.Ak",M,2012,Youth (<18)
2124,60442366591,flazz,Taufik Utami,M,1986,Middle Age (36-55)
2125,675929247301,flazz,Lukman Kusmawati,F,1983,Middle Age (36-55)
2126,2254003285820372,dki,"Tgk. Danuja Firmansyah, M.Farm",F,1974,Middle Age (36-55)
2127,2476650938209650,dki,Galih Usada,M,1982,Middle Age (36-55)
2128,6532088251080254,dki,Dr. Nyoman Andriani,M,1989,Middle Age (36-55)
2129,5102521105010145,dki,Endah Kusumo,M,1966,Senior (>55)
2130,5366683695906768,dki,dr. Bella Waluyo,M,1992,Young Adult (18-35)
2131,3500323231481354,dki,T. Dwi Puspita,M,2008,Youth (<18)
2132,4346401189507385358,brizzi,Yani Permata,M,1990,Young Adult (18-35)
2133,676151312904,flazz,Mahfud Mansur,F,1985,Middle Age (36-55)
2134,4677586026890329,dki,Putri Mayasari,M,2003,Young Adult (18-35)
2135,5347549654265799,dki,"Yulia Hidayanto, M.M.",F,1992,Young Adult (18-35)
2136,4731828397803364,dki,"Najib Pudjiastuti, S.H.",M,1996,Young Adult (18-35)
2137,4086553646214228,dki,Jabal Yuniar,M,1994,Young Adult (18-35)
2138,341750329607889,emoney,dr. Prabowo Mansur,M,1975,Middle Age (36-55)
2139,4428812528080639542,brizzi,Irsad Samosir,F,1981,Middle Age (36-55)
2140,3531787729461529,dki,Gading Hartati,F,1989,Middle Age (36-55)
2141,6576498331620267,dki,Agnes Susanti,F,1984,Middle Age (36-55)
2142,503899853603,flazz,Pardi Samosir,M,1968,Senior (>55)
2143,4370484840591416,dki,"dr. Warta Maryati, S.Farm",M,1990,Young Adult (18-35)
2144,4312056499407812,dki,R.A. Nadia Wasita,F,1989,Middle Age (36-55)
2145,4034763271181,online,Keisha Natsir,M,2011,Youth (<18)
2146,2720494440841773,dki,"Tasdik Anggraini, S.E.",F,1995,Young Adult (18-35)
2147,6011050365774370,dki,"Dacin Pertiwi, S.Gz",F,1995,Young Adult (18-35)
2148,3584445427329201,dki,Budi Maryadi,F,2009,Youth (<18)
2149,3578524747649254,dki,Maida Laksmiwati,M,2001,Young Adult (18-35)
2150,3594395662897404,dki,Drs. Siti Utama,F,1989,Middle Age (36-55)
2151,6011710336208903,dki,Mulyono Najmudin,F,2011,Youth (<18)
2152,3576270369953168,dki,Wage Maryati,F,2009,Youth (<18)
2153,3582576541575758,dki,Queen Melani,M,2003,Young Adult (18-35)
2154,2316587393111829,dki,"dr. Novi Kusmawati, S.IP",M,2000,Young Adult (18-35)
2155,4934327507422400,dki,"Sakti Wacana, M.Kom.",M,1968,Senior (>55)
2156,213130439394204,emoney,Hj. Ellis Mardhiyah,F,2009,Youth (<18)
2157,6597896452148890,dki,"dr. Yulia Sitorus, S.Psi",F,1983,Middle Age (36-55)
2158,4683728004835551,dki,drg. Rika Halimah,M,1985,Middle Age (36-55)
2159,60459154237,flazz,Michelle Pranowo,M,1982,Middle Age (36-55)
2160,3551435883860384,dki,Drs. Atmaja Laksmiwati,F,1991,Young Adult (18-35)
2161,5564528962026008,dki,Ir. Ilsa Haryanto,F,1992,Young Adult (18-35)
2162,30308062148904,bni,Vinsen Susanti,F,1987,Middle Age (36-55)
2163,560241245912,flazz,Lulut Dongoran,M,1975,Middle Age (36-55)
2164,370591697756658,emoney,Tgk. Dadap Suartini,F,1968,Senior (>55)
2165,4904582058499340,dki,dr. Wardi Hasanah,M,1981,Middle Age (36-55)
2166,30120941818122,bni,"Drs. Langgeng Pudjiastuti, M.M.",M,1989,Middle Age (36-55)
2167,4152375208883474,dki,Rachel Puspita,M,1967,Senior (>55)
2168,4829076283575694368,brizzi,Rafid Hardiansyah,F,2007,Young Adult (18-35)
2169,3589637981507397,dki,drg. Jaiman Wasita,M,2010,Youth (<18)
2170,4195862376852729,dki,"Tania Maheswara, M.Ak",F,1998,Young Adult (18-35)
2171,4597769650764,online,Dalima Kuswoyo,F,2010,Youth (<18)
2172,30212418304320,bni,Kayun Sudiati,M,1990,Young Adult (18-35)
2173,344809036744141,emoney,Jarwi Nainggolan,M,2009,Youth (<18)
2174,4728215099047,online,Gaiman Winarno,M,1967,Senior (>55)
2175,4007034631433,online,"dr. Uli Sirait, S.IP",F,2005,Young Adult (18-35)
2176,30152216167224,bni,Hadi Mulyani,F,1993,Young Adult (18-35)
2177,4668539844720591,dki,R.M. Arta Rajasa,M,1985,Middle Age (36-55)
2178,30502528363426,bni,Darmanto Padmasari,F,2006,Young Adult (18-35)
2179,4583824713774176401,brizzi,Hardi Astuti,F,1993,Young Adult (18-35)
2180,4493774407391381468,brizzi,Sarah Saputra,M,2001,Young Adult (18-35)
2181,4318389037237,online,"Drs. Emil Wijaya, S.I.Kom",M,1984,Middle Age (36-55)
2182,6011093755788196,dki,Darimin Lestari,F,1983,Middle Age (36-55)
2183,30481394350579,bni,Kayla Maheswara,M,2012,Youth (<18)
2184,2544746927651528,dki,"dr. Perkasa Pratiwi, M.Kom.",F,1977,Middle Age (36-55)
2185,180079197406917,emoney,"Najwa Usamah, S.H.",F,1988,Middle Age (36-55)
2186,4924285791693304,dki,Vera Winarno,M,2008,Youth (<18)
2187,5127090567469257,dki,"Hj. Raina Handayani, S.H.",F,1980,Middle Age (36-55)
2188,180060697276455,emoney,"R. Ihsan Uyainah, S.Pd",M,2000,Young Adult (18-35)
2189,676315347408,flazz,Lalita Tamba,F,1975,Middle Age (36-55)
2190,5188227507307298,dki,"Ir. Vanesa Utami, S.Farm",M,1995,Young Adult (18-35)
2191,4589069317194406017,brizzi,"Hj. Ulya Thamrin, S.H.",F,1991,Young Adult (18-35)
2192,30530424897163,bni,Clara Farida,M,1996,Young Adult (18-35)
2193,30212103990987,bni,"R. Wira Safitri, S.Sos",M,1986,Middle Age (36-55)
2194,676385938672,flazz,Rahmi Setiawan,M,1962,Senior (>55)
2195,374400911125433,emoney,Cakrabirawa Wahyudin,F,1998,Young Adult (18-35)
2196,4066432626109647,dki,Vega Sitorus,M,1982,Middle Age (36-55)
2197,3544459896003063,dki,"Ir. Viman Safitri, S.Gz",F,1986,Middle Age (36-55)
2198,4344577505992724509,brizzi,Mustika Hariyah,F,1969,Senior (>55)
2199,4906734310359436,dki,Mutia Thamrin,F,1965,Senior (>55)
2200,180024821749639,emoney,"R.M. Vinsen Winarsih, M.Kom.",M,2002,Young Adult (18-35)
2201,4344047875160622,dki,Joko Winarno,F,1974,Middle Age (36-55)
2202,30384899059986,bni,Violet Prayoga,F,1991,Young Adult (18-35)
2203,38891524107727,bni,"Malika Uwais, M.Kom.",M,1948,Senior (>55)
2204,4833409111170294,dki,"Bakiman Hutapea, S.Pd",M,1988,Middle Age (36-55)
2205,4724065458151,online,Rahmi Setiawan,F,1983,Middle Age (36-55)
2206,180043669054498,emoney,Yoga Nuraini,F,2009,Youth (<18)
2207,4664460720356463,dki,Hamima Sihotang,F,1990,Young Adult (18-35)
2208,6011193860598793,dki,Zahra Wulandari,F,2000,Young Adult (18-35)
2209,2270020253438813,dki,"Ika Maryadi, S.Pt",F,1994,Young Adult (18-35)
2210,180053772832045,emoney,Cakrabirawa Lestari,F,2005,Young Adult (18-35)
2211,4683474043783714,dki,"drg. Salimah Nasyiah, M.Pd",F,1972,Middle Age (36-55)
2212,676383762900,flazz,R. Eluh Nurdiyanti,M,1958,Senior (>55)
2213,501852730305,flazz,"Dr. Vicky Kuswoyo, S.Sos",F,1982,Middle Age (36-55)
2214,5357269052714838,dki,Faizah Siregar,F,2010,Youth (<18)
2215,4962544711848908,dki,"Dr. Clara Mustofa, S.Kom",M,1990,Young Adult (18-35)
2216,4766141613332140120,brizzi,Jamal Waskita,F,1986,Middle Age (36-55)
2217,6510725906600251,dki,Dr. Prabowo Uwais,M,2001,Young Adult (18-35)
2218,4374387843242754134,brizzi,"Dewi Nashiruddin, S.E.",M,1966,Senior (>55)
2219,4630032019410089272,brizzi,Tantri Hidayat,M,1986,Middle Age (36-55)
2220,371782687178248,emoney,R.A. Anastasia Permata,M,1974,Middle Age (36-55)
2221,3551404641291100,dki,Mala Maheswara,M,2008,Youth (<18)
2222,4292878430003911,dki,Maya Budiyanto,M,1981,Middle Age (36-55)
2223,30301674315730,bni,"H. Hardana Wahyuni, M.Farm",F,1982,Middle Age (36-55)
2224,4981435569157787355,brizzi,Nyana Mulyani,M,1991,Young Adult (18-35)
2225,3517824027748774,dki,R.A. Farah Laksita,F,1982,Middle Age (36-55)
2226,4187212208844975,dki,"Lalita Gunarto, S.Psi",M,1993,Young Adult (18-35)
2227,4518386011614761128,brizzi,Hesti Pradana,M,1990,Young Adult (18-35)
2228,4367875483934,online,dr. Malika Megantara,M,1988,Middle Age (36-55)
2229,4181279075666845,dki,Jinawi Novitasari,F,2003,Young Adult (18-35)
2230,30215346676214,bni,"Jefri Kusmawati, S.Sos",F,1982,Middle Age (36-55)
2231,4299739091258546,dki,Sidiq Uyainah,F,1999,Young Adult (18-35)
2232,4512363274051,online,Vera Mandala,F,1991,Young Adult (18-35)
2233,36262935210793,bni,Tugiman Siregar,M,1974,Middle Age (36-55)
2234,4371609010136308,dki,Tari Iswahyudi,F,1994,Young Adult (18-35)
2235,30286624717145,bni,Mutia Salahudin,F,1985,Middle Age (36-55)
2236,4235574612749510406,brizzi,Jasmani Januar,M,1978,Middle Age (36-55)
2237,3599405845066432,dki,Karman Wahyuni,M,1993,Young Adult (18-35)
2238,502066366266,flazz,"Vanesa Andriani, M.M.",F,1996,Young Adult (18-35)
2239,4036759935764345401,brizzi,Soleh Mustofa,F,1990,Young Adult (18-35)
2240,3579728164237720,dki,Drs. Padmi Agustina,F,1991,Young Adult (18-35)
2241,30319647118015,bni,Zelda Saptono,F,1992,Young Adult (18-35)
2242,4980767548612,online,Cut Nova Wijaya,F,2000,Young Adult (18-35)
2243,6529156201548855,dki,"Drs. Julia Wahyuni, S.IP",M,1969,Senior (>55)
2244,4924892589169286036,brizzi,Ajimat Purnawati,F,1991,Young Adult (18-35)
2245,349660814599537,emoney,Dr. Maman Maulana,F,2000,Young Adult (18-35)
2246,347989839063985,emoney,"dr. Siska Thamrin, S.T.",F,2009,Youth (<18)
2247,4101088549145527,dki,"Puti Gabriella Kuswoyo, S.IP",M,1995,Young Adult (18-35)
2248,213110849428057,emoney,H. Hendra Hasanah,M,1966,Senior (>55)
2249,4382144979733654479,brizzi,"Ir. Hardana Fujiati, S.I.Kom",F,1996,Young Adult (18-35)
2250,4411482992058987,dki,"Putri Hidayat, M.Kom.",F,2008,Youth (<18)
2251,213114472517939,emoney,R. Oman Mustofa,M,1972,Middle Age (36-55)
2252,4439177425589584442,brizzi,R.A. Nadine Halim,F,1992,Young Adult (18-35)
2253,630420072047,flazz,"Puti Andriani, S.IP",F,1992,Young Adult (18-35)
2254,3525261897654818,dki,Ir. Vanesa Lailasari,F,1993,Young Adult (18-35)
2255,379802408125971,emoney,Yunita Nuraini,F,1981,Middle Age (36-55)
